16:24:00 [src.strategy.status] [VCIG] $0.68 (+0.7%) | SL=$0.63 TP=$0.74
16:24:00 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:00 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:00 [src.strategy.status] [VERO] $2.37 (-0.4%) | SL=$2.26 TP=$2.62
16:24:00 [src.strategy.status] [VCIG] $0.68 (+0.7%) | SL=$0.63 TP=$0.74
16:24:00 [src.strategy.status] [VCIG] $0.68 (+0.7%) | SL=$0.63 TP=$0.74
16:24:00 [src.strategy.status] [VCIG] $0.67 (+0.3%) | SL=$0.63 TP=$0.74
16:24:02 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:02 [src.strategy.status] [VCIG] $0.67 (+0.7%) | SL=$0.63 TP=$0.74
16:24:03 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:03 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:04 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:09 [src.strategy.status] [VCIG] $0.67 (+0.7%) | SL=$0.63 TP=$0.74
16:24:09 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:10 [src.strategy.status] [VCIG] $0.68 (+0.9%) | SL=$0.63 TP=$0.74
16:24:10 [src.strategy.status] [VCIG] $0.68 (+0.9%) | SL=$0.63 TP=$0.74
16:24:10 [src.strategy.status] [VCIG] $0.67 (+0.7%) | SL=$0.63 TP=$0.74
16:24:10 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:10 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:11 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:24:12 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:24:12 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:13 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:13 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:13 [src.strategy.status] [VCIG] $0.68 (+0.9%) | SL=$0.63 TP=$0.74
16:24:13 [src.strategy.status] [VCIG] $0.68 (+0.9%) | SL=$0.63 TP=$0.74
16:24:13 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:14 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:14 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:14 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:16 [src.strategy.status] [VCIG] $0.67 (-0.7%) | SL=$0.63 TP=$0.74
16:24:16 [src.strategy.status] [VCIG] $0.67 (-0.7%) | SL=$0.63 TP=$0.74
16:24:16 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:24:18 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:18 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:20 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:21 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:24:21 [src.strategy.status] [VCIG] $0.67 (+0.0%) | SL=$0.63 TP=$0.74
16:24:21 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:21 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:24 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:24 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:25 [src.strategy.status] [VCIG] $0.67 (+0.0%) | SL=$0.63 TP=$0.74
16:24:25 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:24:26 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:24:26 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:24:27 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:24:27 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:24:28 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:24:28 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:24:30 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:24:30 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:24:31 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:24:31 [src.strategy.status] [VERO] $2.37 (-0.4%) | SL=$2.26 TP=$2.62
16:24:34 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:24:34 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:24:35 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:37 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:37 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:38 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:38 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:39 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:39 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:39 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:40 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:41 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:41 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:42 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:43 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:43 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:44 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:44 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:44 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:44 [src.strategy.status] [VERO] $2.37 (-0.4%) | SL=$2.26 TP=$2.62
16:24:44 [src.strategy.status] [VERO] $2.37 (-0.5%) | SL=$2.26 TP=$2.62
16:24:45 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:45 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:47 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:24:47 [src.strategy.status] [VCIG] $0.66 (-1.7%) | SL=$0.63 TP=$0.74
16:24:54 [src.strategy.status] [VCIG] $0.66 (-1.7%) | SL=$0.63 TP=$0.74
16:24:54 [src.strategy.status] [VCIG] $0.66 (-1.7%) | SL=$0.63 TP=$0.74
16:24:56 [src.strategy.status] [VCIG] $0.66 (-1.7%) | SL=$0.63 TP=$0.74
16:24:56 [src.strategy.status] [VCIG] $0.66 (-2.0%) | SL=$0.63 TP=$0.74
16:24:57 [src.strategy.status] [VCIG] $0.66 (-2.0%) | SL=$0.63 TP=$0.74
16:24:57 [src.strategy.status] [VCIG] $0.66 (-2.0%) | SL=$0.63 TP=$0.74
16:24:57 [src.strategy.status] [VCIG] $0.66 (-2.2%) | SL=$0.63 TP=$0.74
16:24:58 [src.strategy.status] [VCIG] $0.65 (-2.7%) | SL=$0.63 TP=$0.74
16:24:59 [src.strategy.status] [VCIG] $0.65 (-2.7%) | SL=$0.63 TP=$0.74
16:24:59 [src.strategy.status] [VCIG] $0.65 (-2.7%) | SL=$0.63 TP=$0.74
16:25:00 [src.strategy.status] [VCIG] $0.65 (-2.8%) | SL=$0.63 TP=$0.74
16:25:00 [src.strategy.status] [VCIG] $0.65 (-2.8%) | SL=$0.63 TP=$0.74
16:25:00 [src.strategy.status] [VCIG] $0.65 (-2.8%) | SL=$0.63 TP=$0.74
16:25:03 [src.strategy.status] [VCIG] $0.65 (-2.8%) | SL=$0.63 TP=$0.74
16:25:03 [src.strategy.status] [VCIG] $0.65 (-2.7%) | SL=$0.63 TP=$0.74
16:25:04 [src.strategy.status] [VCIG] $0.65 (-2.7%) | SL=$0.63 TP=$0.74
16:25:04 [src.strategy.status] [VCIG] $0.65 (-2.8%) | SL=$0.63 TP=$0.74
16:25:06 [src.strategy.status] [VCIG] $0.65 (-2.8%) | SL=$0.63 TP=$0.74
16:25:08 [src.strategy.status] [VCIG] $0.65 (-2.8%) | SL=$0.63 TP=$0.74
16:25:08 [src.strategy.status] [VCIG] $0.65 (-2.8%) | SL=$0.63 TP=$0.74
16:25:09 [src.strategy.status] [VCIG] $0.65 (-3.0%) | SL=$0.63 TP=$0.74
